artifact,author,origin_url,version_or_hash,spdx,modifications,attribution
assets/geo/coastline-110m.bin,Natural Earth (Tom Patterson; Nathaniel Vaughn Kelso and contributors),https://github.com/nvkelso/natural-earth-vector/blob/master/geojson/ne_110m_coastline.geojson,"upstream master@ca96624a56bd; source sha256 851f581ff5ffb844deed8ae1a9ce22e3c4bb3d74fa342cadb5d8e39b41ae7c3c; asset sha256 0d88bd3d57e4050b0bf1f569187a1eb98c8350049e845b02c8cdca6ade598af0",LicenseRef-PublicDomain,"Converted by scripts/convert_coastline.py to polylines of centidegree i16 pairs; no geometry edits","Optional: Made with Natural Earth."
scripts/convert_coastline.py,sci-fi-terminal contributors,original,this repository,MIT,n/a,n/a
